sample,idat_1,idat_2
R05C01-38,/home/user2/Downloads/IDATS/idats/GSA/208021030021_R05C01_Grn.idat,/home/user2/Downloads/IDATS/idats/GSA/208021030021_R05C01_Red.idat
R06C01-38,/home/user2/Downloads/IDATS/idats/GSA/208021030021_R06C01_Grn.idat,/home/user2/Downloads/IDATS/idats/GSA/208021030021_R06C01_Red.idat
